# RFI station list — official station names, the single source shared by iOS and backend.
#
# Source:    https://iechub.rfi.it/ArriviPartenze/ — the <select name="PlaceId"> station picker,
#            RFI's own authoritative list (same ids the live monitor uses).
# Extracted: 2026-08-31
# Entries:   2435 at extraction time.
#
# THIS IS A DATED SNAPSHOT, NOT A PERPETUAL TRUTH. Nothing guarantees RFI's
# list is stable, so the entry count is not a constant to rely on. Never assert
# the count in a test — assert properties (uniqueness, injectivity, known
# anchors). A count assertion proves nothing while it passes and breaks on any
# upstream change.
#
# Names are RFI's, verbatim, with ONE typographic normalization: where RFI
# types a backtick standing in for an apostrophe, it becomes an apostrophe
# (so "CITTA DI CASTELLO" carries a real apostrophe after CITTA).
# Structure is never touched — spacing, hyphens and slashes stay as RFI writes
# them. Regenerate with tools/generate-rfi-stations-tsv.mjs; never hand-edit.
#
# placeId	name
642	BIASSONO-LESMO PARCO
646	BIBIANA
647	BICOCCA
649	BIELLA S.PAOLO
650	BIFORCO
652	BISCEGLIE
653	BISTAGNO
654	BISUSCHIO-VIGGIU'
655	BITETTO PALO DEL COLLE
3235	BITRITTO
520	BIVIO D'AURISINA
213	BOGLIASCO
681	BOIANO
682	BOLGHERI
672	BOLOGNA BORGO PANIGALE
942	BOLOGNA C.LE/AV
683	BOLOGNA CENTRALE
673	BOLOGNA CORTICELLA
1249	BOLOGNA FIERE
1709	BOLOGNA MAZZINI
679	BOLOGNA S.RUFFILLO
2003	BOLOGNA S.VITALE
685	BOLZANO
1966	BOLZANO CASANOVA
686	BOLZANO NOVARESE
687	BOLZANO SUD
214	BONASSOLA
689	BONEFRO S.CROCE
690	BONFERRARO
691	BONORVA
215	BORDIGHERA
5035	BORGARO
693	BORGHETTO PARMENSE
216	BORGHETTO S.SPIRITO
694	BORGHETTO SULL'ADIGE
217	BORGIO VEREZZI
695	BORGO
696	BORGO A BUGGIANO
697	BORGO A MOZZANO
218	BORGO FORNARI PER VOLTAGGIO
698	BORGO LAVEZZARO
699	BORGO REVEL
700	BORGO S.DALMAZZO
701	BORGO S.LORENZO
702	BORGO S.LORENZO RIMORELLI
703	BORGO S.MARTINO
704	BORGO TICINO
705	BORGO VAL DI TARO
706	BORGO VALSUGANA CENTRO
3503	BORGO VALSUGANA EST
707	BORGO VERCELLI
1547	BORGOCHIESANUOVA
709	BORGOFRANCO
710	BORGOLOMBARDO
711	BORGOMANERO
712	BORGONE
713	BORGONUOVO
714	BORGORATTO
715	BORGOSESIA
716	BORORE
717	BOSCHI S.ANNA
5023	BOSCONERO
21	BOTRICELLO
5075	BOTTENICCO
22	BOVA MARINA
23	BOVALINO
722	BOVINO DELICETO
724	BOVOLONE
725	BOZZOLO
727	BRA
728	BRACCIANO
3437	BRAGNO
24	BRANCALEONE
729	BRANDIZZO
730	BREIL SUR ROYA
731	BRENNA-ALZATE
732	BRENNERO
734	BRESCIA
736	BRESSANA ARGINE
737	BRESSANA BOTTARONE
738	BRESSANONE
25	BRIATICO
740	BRICHERASIO
741	BRINDISI
2723	BRINDISI CITTADELLA DELLA RICERCA
2786	BRINDISI PERRINO
743	BRIONA
744	BRISIGHELLA
745	BROLO FICARRA
746	BRONI
747	BRONZOLO
748	BROZOLO
750	BRUCOLI
751	BRUNICO
1967	BRUNICO NORD
752	BRUNO
753	BRUZOLO DI SUSA
754	BUCCINO S.GREGORIO MAGNO
